Date,Age,Tm,Opp,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
2023-11-03,25-114,OKC,GSW,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023-11-06,25-117,OKC,ATL,W (+9),37:27,11,20,.550,3,7,.429,5,6,.833,1,7,8,6,1,0,2,5,30,+14
2023-11-08,25-119,OKC,CLE,W (+8),37:36,15,22,.682,1,2,.500,12,13,.923,2,5,7,6,2,1,3,3,43,+10
2023-11-10,25-121,OKC,SAC,L (-7),37:41,14,25,.560,0,2,.000,5,6,.833,0,7,7,5,2,2,2,1,33,-3
2023-11-12,25-123,OKC,PHO,W (+12),36:50,13,22,.591,2,5,.400,7,8,.875,0,7,7,4,1,1,1,3,35,+7
2023-11-14,25-125,OKC,SAS,W (+36),28:04,10,16,.625,1,4,.250,7,7,1.000,1,5,6,5,7,0,2,2,28,+25
2023-11-16,25-127,OKC,GSW,W (+19),29:16,6,21,.286,3,7,.429,9,9,1.000,1,1,2,7,3,1,2,4,24,+12
2023-11-18,25-129,OKC,GSW,W (+7),40:41,18,29,.621,2,3,.667,2,2,1.000,1,6,7,6,2,2,3,1,40,+7
2023-11-19,25-130,OKC,POR,W (+43),22:31,10,13,.769,1,1,1.000,7,7,1.000,0,3,3,4,1,0,3,2,28,+26
2023-11-22,25-133,OKC,CHI,W (+14),36:43,11,19,.579,1,3,.333,17,18,.944,1,4,5,12,1,3,2,2,40,+16
2023-11-25,25-136,OKC,PHI,L (-4),36:11,10,21,.476,1,2,.500,10,10,1.000,3,3,6,5,2,0,1,3,31,+1
2023-11-28,25-139,OKC,MIN,L (-3),33:59,13,22,.591,0,1,.000,6,6,1.000,1,3,4,4,3,2,3,2,32,+4
2023-11-30,25-141,OKC,LAL,W (+23),34:56,11,18,.611,1,4,.250,10,10,1.000,0,4,4,7,1,0,0,4,33,+15
2023-12-02,25-143,OKC,DAL,W (+6),38:33,6,13,.462,2,3,.667,3,4,.750,1,2,3,9,5,1,2,4,17,+8
2023-12-06,25-147,OKC,HOU,L (-9),36:58,13,18,.722,0,0,,7,9,.778,0,3,3,6,6,1,2,4,33,-6
2023-12-08,25-149,OKC,GSW,W (+2),42:20,15,30,.500,0,3,.000,8,11,.727,3,2,5,5,5,1,0,4,38,+11
2023-12-11,25-152,OKC,UTA,W (+14),27:57,12,17,.706,0,1,.000,6,6,1.000,1,3,4,7,3,0,1,1,30,+35
2023-12-14,25-155,OKC,SAC,L (-5),38:12,13,27,.481,1,5,.200,16,18,.889,2,4,6,9,2,0,3,2,43,+3
2023-12-16,25-157,OKC,DEN,W (+1),36:55,9,20,.450,0,2,.000,7,8,.875,0,6,6,8,2,0,2,1,25,+3
2023-12-18,25-159,OKC,MEM,W (+19),28:24,8,18,.444,1,3,.333,13,14,.929,0,9,9,5,4,0,2,4,30,+30
2023-12-21,25-162,OKC,LAC,W (+19),32:08,11,25,.440,1,6,.167,8,9,.889,2,6,8,4,4,2,1,0,31,+9
2023-12-23,25-164,OKC,LAL,L (-9),38:15,12,21,.571,1,5,.200,9,10,.900,1,4,5,7,3,0,3,2,34,-6
2023-12-26,25-167,OKC,MIN,W (+23),33:26,14,19,.737,0,3,.000,6,7,.857,0,6,6,9,2,1,3,3,34,+16
2023-12-27,25-168,OKC,NYK,W (+9),36:22,13,23,.565,2,5,.400,8,9,.889,1,6,7,8,2,2,1,0,36,+12
2023-12-29,25-170,OKC,DEN,W (+26),33:23,14,20,.700,2,3,.667,10,10,1.000,0,4,4,3,2,1,1,3,40,+21
2023-12-31,25-172,OKC,BRK,W (+16),34:46,7,15,.467,1,2,.500,9,9,1.000,0,4,4,6,0,0,1,2,24,+9
2024-01-02,25-174,OKC,BOS,W (+4),36:38,14,22,.636,3,5,.600,5,8,.625,0,6,6,7,1,0,0,5,36,+3
2024-01-03,25-175,OKC,ATL,L (-3),35:24,11,24,.458,2,3,.667,9,11,.818,1,12,13,8,0,0,2,2,33,+2
2024-01-05,25-177,OKC,BRK,L (-9),35:44,11,19,.579,2,5,.400,10,15,.667,1,8,9,6,0,0,2,5,34,-10
2024-01-08,25-180,OKC,WAS,W (+8),35:42,11,17,.647,2,3,.667,8,10,.800,1,5,6,5,3,1,3,5,32,+3
2024-01-10,25-182,OKC,MIA,W (+8),34:10,11,17,.647,2,5,.400,4,5,.800,0,2,2,8,1,1,3,3,28,-3
2024-01-11,25-183,OKC,POR,W (+62),21:07,11,15,.733,1,3,.333,8,8,1.000,1,4,5,4,0,1,2,2,31,+41
2024-01-13,25-185,OKC,ORL,W (+12),35:57,13,20,.650,0,4,.000,11,12,.917,2,4,6,7,3,1,0,2,37,+14
2024-01-15,25-187,OKC,LAL,L (-7),34:18,9,19,.474,1,6,.167,5,5,1.000,0,3,3,6,1,1,3,3,24,-12
2024-01-16,25-188,OKC,LAC,L (-11),33:44,6,16,.375,0,3,.000,7,8,.875,1,1,2,4,0,2,2,4,19,-19
2024-01-18,25-190,OKC,UTA,W (+5),34:41,8,15,.533,0,1,.000,15,17,.882,1,5,6,6,1,1,4,4,31,-1
2024-01-20,25-192,OKC,MIN,W (+5),37:10,10,22,.455,1,2,.500,12,13,.923,1,1,2,6,2,0,2,0,33,+14
2024-01-23,25-195,OKC,POR,W (+2),35:05,10,24,.417,0,3,.000,13,17,.765,2,4,6,10,5,0,3,3,33,+17
2024-01-24,25-196,OKC,SAS,W (+26),29:28,9,15,.600,2,2,1.000,12,12,1.000,2,4,6,10,2,1,4,3,32,+20
2024-01-26,25-198,OKC,NOP,W (+24),31:32,10,21,.476,3,8,.375,8,9,.889,0,4,4,5,2,1,4,0,31,+12
2024-01-28,25-200,OKC,DET,L (-16),29:14,13,20,.650,1,1,1.000,4,5,.800,3,2,5,4,1,0,3,3,31,-6
2024-01-29,25-201,OKC,MIN,L (-6),38:54,10,18,.556,2,3,.667,15,16,.938,2,5,7,8,2,0,4,2,37,+5
2024-01-31,25-203,OKC,DEN,W (+5),35:33,10,22,.455,2,3,.667,12,13,.923,1,6,7,5,1,2,2,4,34,-1
2024-02-02,25-205,OKC,CHO,W (+20),29:53,11,15,.733,1,1,1.000,8,10,.800,0,3,3,9,5,3,3,2,31,+34
